budget,id_categoryFK,id_cityFK,id_beneficiaryFK,id_dateFK
46238,3,1,2596,9188
42004,87,1,3560,8079
379020,1,1,4683,8443
49114,3,1,4372,8311
10776,87,1,834,9244
12456,91,1,4957,9177
41934,91,1,1516,8282
41298,91,1,2035,8470
49954,87,1,4156,9384
38607,3,1,1809,8181
4036,1,1,2626,7993
37826,91,1,2849,8118
38607,87,1,1368,9365
38607,91,1,4728,9192
7420,91,1,3197,7976
16425,87,1,3239,8182
970060,91,1,594,8242
36074,91,1,4829,8302
38209,87,1,4680,8903
13816,91,1,2837,8679
5420,91,1,3699,9261
38607,3,1,3208,8094
617740,3,1,2910,9399
26752,1,1,848,8892
11506,3,1,1682,9081
14631,91,1,3260,7973
17334,3,1,2071,8984
42778,3,1,907,8991
3576,3,1,682,9342
12256,91,1,2381,8414
38607,3,1,54,8320
5197,3,1,4463,7990
38607,3,1,4015,9323
41178,91,1,543,8372
11289,1,1,160,8614
38607,1,1,2487,8109
46130,3,1,3517,8468
38607,87,1,88,8041
30608,3,1,4334,8436
322660,3,1,2250,8333
13942,1,1,3562,8621
38607,1,1,3405,9091
47495,87,1,3159,8197
37579,3,1,1691,9328
1094,1,1,155,8514
26528,87,1,36,8744
3007,91,1,4525,8532
2800,87,1,2453,9287
10352,3,1,4225,8789
1235,91,1,50,8549
21830,87,1,4696,9283
47208,3,1,2715,8343
25410,3,1,4528,8444
4145,87,1,3646,9066
42678,1,1,2508,8660
33567,3,1,4881,8301
24863,91,1,1304,8162
22274,3,1,3793,9348
30184,87,1,331,9074
15486,1,1,1950,8855
2302,1,1,4858,8678
31860,91,1,1076,9057
12671,91,1,2417,8394
44302,1,1,2671,9165
49264,91,1,3645,9098
33500,3,1,3680,8124
38607,91,1,2715,8401
31653,91,1,2664,8236
38607,91,1,4347,8740
38384,1,1,2856,8023
44207,3,1,1651,8287
25832,1,1,64,9162
34686,1,1,1065,8883
45015,3,1,58,9127
46013,1,1,958,8959
17149,87,1,4730,9115
39954,91,1,3228,8159
4187,87,1,4432,8395
35016,87,1,4199,8242
43726,87,1,3244,8472
46657,1,1,34,9401
31819,91,1,2267,9146
21488,91,1,2271,9259
8229,3,1,3491,8032
9876,3,1,2439,8647
30617,87,1,254,9107
49078,3,1,4225,8642
22586,1,1,3786,9248
40712,91,1,4148,9116
21593,87,1,2703,8400
38607,87,1,4312,9074
21278,1,1,4005,8390
46444,1,1,3818,8850
31519,3,1,2592,8136
38607,3,1,3178,9226
39264,91,1,2315,8334
1894,91,1,1065,8331
37328,3,1,713,8032
10059,91,1,1603,9343
11395,91,1,974,8586
19660,1,1,1544,8263
10152,87,1,614,8447
20137,1,1,4794,9198
16926,87,1,344,8586
10751,91,1,604,8785
13750,91,1,4618,8577
18963,3,1,883,8746
37111,3,1,3913,9301
45367,91,1,244,7973
29678,3,1,1225,8155
36456,1,1,2988,9287
26310,91,1,2035,8802
899740,91,1,2787,8469
39052,3,1,2727,8202
581900,91,1,1773,8964
16210,3,1,4724,8943
48393,87,1,290,8482
2915,3,1,3280,9365
38064,3,1,3475,9297
757680,1,1,4623,9348
30106,87,1,854,8634
31009,87,1,195,8020
48271,3,1,317,8641
4658,1,1,3745,8371
29601,87,1,1494,8279
48717,3,1,1895,9273
39546,3,1,4735,8092
25767,1,1,2763,9192
314020,87,1,346,8118
4647,3,1,3796,8201
30128,1,1,2586,8316
19748,87,1,1365,8607
36881,3,1,1301,8071
46414,1,1,649,9364
11971,91,1,2120,9125
28260,91,1,1126,8692
49539,87,1,160,8949
43384,91,1,2807,8487
12592,87,1,2053,8389
31754,87,1,30,9042
46670,87,1,3835,8502
31025,1,1,1166,8052
41292,3,1,4471,9186
38607,3,1,4200,9013
10609,87,1,2107,9351
8833,87,1,611,7946
38607,87,1,3259,8812
38607,87,1,3097,8356
21028,1,1,1183,9126
31553,3,1,2151,8334
9751,91,1,2213,8683
6452,1,1,4558,7980
45624,1,1,971,7984
637700,87,1,3981,8997
7735,1,1,450,8024
31886,3,1,3479,8063
36911,87,1,1243,8850
43474,1,1,2684,8788
5415,1,1,3842,9112
4342,91,1,231,8960
38607,91,1,2368,8706
38050,3,1,1439,9349
3147,87,1,2986,9325
41918,87,1,2735,8913
42943,87,1,2534,9171
17672,87,1,2113,8286
44840,87,1,2329,8059
8405,1,1,3002,8376
7089,3,1,3639,8328
28770,87,1,3108,8753
35968,1,1,4344,9328
21986,87,1,2468,8125
40237,87,1,4229,8687
34366,1,1,4224,8502
4821,3,1,2321,8635
49134,91,1,2710,8672
2756,3,1,1497,9126
17936,87,1,4843,8442
8161,1,1,4245,8182
25375,91,1,3362,8089
45395,91,1,4887,8991
15573,87,1,965,8100
33773,87,1,1627,8051
38607,1,1,1280,9033
10686,91,1,4058,8801
44430,91,1,2429,7961
36825,87,1,4490,9120
7683,91,1,3855,8232
45766,91,1,3167,9049
1322,87,1,850,9139
32573,3,1,661,8460
18186,91,1,4386,8882
4107,3,1,3472,8648
30229,87,1,4831,8820
36504,91,1,2699,8907
34601,1,1,1931,8869
383900,3,1,4762,9194
46345,1,1,2690,8795
40457,1,1,4764,9368
14683,1,1,909,8454
11039,91,1,3921,9025
40586,1,1,573,9314
24602,3,1,1967,8767
38607,87,1,2747,8897
41192,3,1,837,8005
25822,91,1,1977,9391
17257,3,1,4031,8845
5417,91,1,2444,9245
30921,1,1,862,8665
9523,1,1,4027,8373
36686,1,1,3237,9085
28275,91,1,4184,9371
22713,87,1,2672,8715
47442,1,1,1354,8107
42187,91,1,1143,9337
5982,87,1,3546,9301
39273,91,1,3196,8591
39622,91,1,1439,9184
36183,91,1,3679,8264
3359,3,1,1373,8035
41428,3,1,1718,8886
49876,87,1,3127,7978
35272,87,1,3937,8544
36726,91,1,1525,8819
31880,1,1,1993,8891
216000,3,1,2201,8933
29680,3,1,1818,7958
18429,91,1,3935,8654
16906,3,1,3711,8814
38607,91,1,1745,8018
23259,3,1,499,9389
9246,3,1,1395,8395
37094,1,1,2558,8861
38607,3,1,2713,8465
23425,3,1,4742,8784
30482,91,1,855,8882
7815,1,1,2947,9086
39258,87,1,1908,8528
35579,1,1,2434,8647
19254,87,1,4092,8485
49897,1,1,1336,8327
19574,87,1,3586,8620
58020,3,1,2145,8810
21498,91,1,1308,9158
28639,91,1,1691,8943
4876,3,1,4718,8040
690620,87,1,747,8184
25636,87,1,4504,8402
41930,1,1,313,9066
36444,3,1,1694,8183
30952,87,1,174,8348
9473,87,1,581,8865
21890,91,1,3791,8693
46667,91,1,4053,9311
23323,91,1,209,9196
23452,87,1,1098,9272
37906,91,1,4211,8113
24891,3,1,2827,8530
11515,91,1,1175,8212
5043,3,1,609,9313
26844,3,1,759,8141
20619,91,1,2619,8710
38607,3,1,3880,8362
42331,87,1,1659,9219
2685,1,1,1545,9064
48761,1,1,1381,8439
38607,3,1,4774,8529
14125,1,1,4718,8837
17417,1,1,2964,8125
48083,91,1,4776,8281
38236,87,1,4979,7999
17572,3,1,2662,9286
20823,1,1,933,8120
14365,91,1,3875,8421
5499,87,1,1441,9174
31256,87,1,1960,8795
20028,3,1,213,8181
11841,1,1,1834,9369
3584,1,1,1334,9156
38607,1,1,4739,9177
25893,3,1,1543,8562
8668,1,1,4204,8164
11097,87,1,4601,8388
48648,3,1,1913,8367
29248,1,1,2461,9226
47630,1,1,93,8085
