final_price,id_service,id_status,id_date,id_event,id_evaluation
9070,575,1,8398,6547,6472
6971,361,3,8705,3677,11044
722,2246,3,8031,5789,8717
307,336,1,8878,1911,6747
5330,1068,8,8721,7604,1490
14940,1220,3,8183,4713,6180
13006,2349,1,8038,2721,6146
2533,2085,3,8723,5036,1178
13618,397,1,8013,4677,7500
14122,742,8,8734,6435,8955
1718,1044,1,8423,5796,1266
8634,306,1,7957,10302,4100
1070,2415,8,9024,3665,6504
7896,1866,1,8594,1566,2367
8945,1487,8,8154,10553,6825
7374,584,1,8563,143,5429
2188,553,1,8432,1932,7929
9298,1824,1,8047,9206,782
5033,2020,3,8308,3383,11772
12295,1058,3,8765,2765,11282
11544,2146,1,8876,4327,11960
8753,529,8,8502,4698,5950
11462,1184,3,8054,3459,2189
7728,1393,1,8905,10827,5516
2933,1044,1,8286,2260,8180
12085,533,1,8767,4507,7608
11958,1321,8,8754,1280,10435
2883,613,8,8150,1892,10709
12250,1142,8,8080,2789,8492
11682,32,3,8556,10314,1597
11314,769,8,8336,9311,322
6616,1667,3,8754,6316,2690
5604,2080,1,8635,10064,10379
9512,1087,1,9003,6894,8591
4022,1211,1,8817,7316,6149
3277,1388,3,8834,8949,7136
6814,770,3,9005,9057,10983
522,649,3,8403,2716,11622
6066,263,3,8226,5837,3473
1504,846,3,8909,8671,8807
711,2485,8,8168,3368,4728
8111,601,3,8333,9707,2847
14788,2129,8,8213,4561,5920
687,2304,3,8852,6128,10660
9066,327,1,8003,6090,5499
13367,143,1,8275,6969,6954
2828,2351,3,8559,7766,9049
7606,823,3,8206,4385,7377
494,2152,3,8933,3059,11013
12894,588,3,8508,10073,112
7384,691,3,8222,4350,11391
2190,2168,8,9030,8333,895
9696,1630,1,8455,5523,7339
2347,991,1,8924,6386,3836
13433,89,8,8628,7774,5017
7177,2278,8,8261,8854,6449
93400,2487,3,9003,7298,10874
10016,1289,1,8670,3784,879
6433,690,1,8095,8178,1554
9179,519,3,8415,1038,1395
8609,1563,3,8349,7102,9521
3369,2273,3,8529,3765,8174
12883,2370,8,8596,4568,4801
12087,973,1,8258,8779,2638
5278,1441,3,8593,5680,7472
10780,447,8,9065,5158,5584
14953,116,3,8978,4585,9001
9294,2497,3,8339,2105,5065
9653,1214,1,8980,728,7697
14388,9,3,8472,10144,10613
14395,2113,1,8805,2467,5818
1383,1212,3,9006,5302,10367
764,1106,8,8302,7914,10257
10480,812,8,8680,9656,1014
3507,2279,8,8441,10680,5649
12217,222,1,8348,7153,7562
7358,2040,3,7965,10736,10377
2524,695,8,8374,7909,3164
14632,1701,3,8709,7516,4795
11056,1033,1,8683,7001,11705
1602,1810,8,8968,7075,7211
2768,896,1,8172,1277,2441
10270,835,1,8791,7488,5564
10514,2041,3,8470,1605,3421
9176,2011,3,8243,2849,4528
4112,2384,3,8764,11375,11042
2858,2327,3,8407,4207,936
14929,1891,8,8102,1784,6205
3144,2263,3,9067,1856,3726
3121,230,1,8946,6610,5179
4400,467,1,8420,3737,388
6792,1231,1,8276,7136,31
7020,501,3,8622,904,8110
11520,2198,1,8693,3518,4187
5443,138,3,8465,11341,7943
7554,254,8,8070,6620,8924
1571,1965,8,8899,3959,277
4329,2076,1,8313,8838,5936
6333,115,3,8194,5217,5099
10875,951,8,8157,7801,8771
9414,186,8,7947,10201,11441
11362,2148,8,8444,1515,10354
14978,2427,8,8800,5662,10163
3448,1678,3,8754,6494,7329
4383,2264,8,8279,155,8307
12644,129,3,9063,4402,4972
12651,23,3,8322,1717,10535
636,2066,1,8761,8615,9222
14769,464,8,8289,11813,9808
8117,1631,8,8088,11098,4352
1490,1738,8,8679,3896,4433
12201,604,1,8195,7022,1477
7398,1077,3,8484,985,11039
3062,48,3,8861,11160,7596
3497,1233,3,8868,8222,11932
9497,147,3,9034,11289,7676
1604,1456,1,8879,10743,11602
13949,1524,1,8833,8154,7479
4752,22,8,8895,672,10168
10151,2109,3,8778,2268,8382
6879,2445,3,8633,92,11515
6668,763,8,8101,5318,1487
8027,1609,8,8098,3896,11127
663,501,3,8121,8551,6134
12811,1034,1,8384,2631,11588
902,2357,1,8815,7143,3497
5280,2058,8,7956,4520,2214
14438,2297,8,8989,3918,5531
9422,1003,8,9031,2019,9544
13830,2203,3,8098,1127,6484
2814,761,8,8010,1222,5660
2628,693,3,8720,11163,9866
10279,1648,8,8276,11010,2819
9851,2229,8,8231,8160,6250
3737,46,1,8041,2314,3826
13070,845,3,8752,8056,8366
2508,1410,3,8316,6889,3701
11728,2088,1,8131,6941,1779
4846,2261,3,8360,7171,9705
13277,1997,3,8341,5975,5171
8200,2237,1,8999,3015,3413
11972,1104,1,8523,8306,2524
1884,286,3,8183,6228,563
11435,2441,3,8039,9240,5651
5623,1531,8,8811,5321,5790
3309,1263,1,8693,8783,6378
8990,409,1,8061,9290,9509
1942,1935,1,8022,987,9751
14710,761,8,9047,9963,11466
5459,1742,3,8862,7034,4094
4470,1523,3,8640,6513,2806
11699,1413,8,8051,7162,7990
8957,2239,8,8579,9024,10541
7737,1308,8,8313,11040,3076
2197,311,8,8098,3850,10270
2633,1778,1,8969,7903,6173
8454,2428,3,8034,4662,5340
14249,2083,8,8436,6776,5916
5459,1042,1,8329,3575,11521
2634,1403,8,8724,11930,10370
13485,267,3,8310,7590,4733
6794,868,3,8767,3265,5165
4000,1414,8,8232,4340,10419
580,2243,3,8250,7343,309
11126,1180,1,8645,5100,3552
2138,2457,1,8103,3062,9400
4338,1088,8,8678,1401,2725
6473,2212,8,8969,214,1468
10444,1768,1,8530,11754,10254
11610,1568,1,8709,10131,4548
1081,1914,3,8569,4619,6219
11572,1750,3,8649,442,10700
4969,876,1,8132,7822,7003
1339,1325,3,8550,4101,1244
898,1343,3,8064,11354,2499
14111,1033,8,8148,11438,7292
9051,390,8,8354,11005,6102
5795,106,8,8091,4744,10756
13901,1781,1,8666,3285,10623
14544,2457,8,9009,840,11625
4201,1386,3,8396,5354,1699
2178,938,1,8880,3193,11336
14358,746,1,8035,5616,1876
9083,234,3,8089,7908,3391
12032,258,1,8210,9482,1484
4935,1437,3,8458,2999,4463
9238,21,3,8944,1315,11545
3151,37,3,8626,8904,1792
1341,1951,8,8891,5823,2143
64420,1656,8,8700,10080,7762
14278,1657,8,9052,4574,8865
7614,923,1,8815,2746,9863
6847,707,1,8698,8823,3830
5570,737,1,8081,7984,5116
5206,520,8,8200,10890,8930
859,382,3,8265,4457,6761
515,623,8,8020,2405,9217
8695,172,1,7990,8015,8046
5354,356,3,8404,631,10441
972,2327,3,9006,667,7976
9812,379,1,7956,2856,4323
64770,1628,8,8065,4208,2946
3170,898,1,8687,8585,4499
3609,2400,3,8487,1431,7156
2207,772,3,8368,2126,4268
9321,842,1,8909,8347,11707
8189,1600,1,8691,3325,7938
10973,872,3,8089,11213,10385
12832,675,8,8881,4083,6408
9001,1078,8,8375,3689,6697
3685,627,1,8729,8218,11726
13949,263,1,8189,3015,5476
14459,2247,3,7985,7533,2061
10215,1612,1,8624,2838,10057
10033,1670,8,8165,2938,11055
11478,1184,8,8991,10654,4707
14708,1226,3,8732,6227,1038
10850,201,8,8965,7159,3759
837,80,8,9023,1958,6067
6611,1612,1,8012,9724,5125
5173,687,3,8273,7746,4303
7029,1137,8,8628,5960,5949
11087,2273,3,8709,355,6851
11234,2421,3,9010,9958,853
10361,126,8,8008,1244,9065
14616,1927,1,8163,3028,7483
12947,1539,1,8762,11341,9201
5729,1076,8,8258,3493,9630
8930,507,1,7970,5752,1982
7271,2048,1,8706,3956,9600
8275,339,3,9037,2750,11754
9925,1757,1,8887,3662,5837
9477,2429,1,8218,2293,11110
14177,2235,1,8627,10945,10207
11498,717,1,8507,7865,1248
12338,1076,1,8789,845,9859
9759,1636,1,8573,413,11040
10434,1378,3,8018,860,3728
14690,270,1,8721,5935,8258
1845,1266,8,8515,3371,10931
7124,1065,3,9066,6279,839
2545,1221,3,8190,8119,10985
9595,397,8,8412,7606,3215
3354,633,1,8533,5088,6442
10659,320,8,9054,920,8913
9011,1841,8,8844,7719,6436
13281,2243,8,8459,728,6806
4684,1636,1,8633,3760,5669
14145,267,8,8567,10992,3736
880,2163,8,8941,3162,4354
13625,1493,3,8615,11274,890
2520,907,3,8680,10351,10120
8402,1166,8,8842,5245,4988
6605,1015,3,8601,3437,8439
7211,2045,1,8328,7854,10429
10896,791,1,7968,3035,11699
6785,712,1,8927,2649,11675
14110,608,3,8271,3652,710
5726,2348,8,7957,10404,8794
13523,1771,1,8183,8670,9475
14490,294,8,8669,9326,1418
11625,1156,8,8849,4351,2846
7022,413,3,8021,10215,1977
3816,2340,8,8383,5751,11877
4449,1392,1,8741,1002,1472
9506,29,1,8310,7770,8228
974,1588,3,8995,5331,7166
13418,381,3,8710,6802,3506
14486,1597,8,8746,5991,7010
7516,1438,3,8697,7506,3841
5277,1165,3,8293,5867,3828
14920,92,3,8030,4646,10979
11503,1601,8,8994,5139,10368
4277,1273,3,9007,2542,10128
10602,2286,8,8765,8130,4637
11548,1081,1,8671,1592,6394
7666,1906,3,8814,1650,11187
9799,1692,8,8274,7497,5765
3372,2454,3,8150,10333,3383
5315,1022,3,8587,3653,7733
12553,2145,1,8675,11203,7753
9265,1484,1,8429,6578,11439
6774,1858,3,8310,8749,8683
14766,1761,1,8477,8637,6223
14478,606,1,8322,11990,4135
11546,2289,3,8372,10073,9115
14730,757,1,8298,8692,7542
12428,420,8,8725,10361,2577
11909,1458,3,8681,1463,2509
8664,1691,1,8313,6289,7541
3920,2162,3,8517,4610,7383
11731,1664,1,9020,1103,4927
6932,958,3,8402,796,6522
11216,2244,1,8295,4002,8965
2342,408,3,8799,6354,11713
5236,1866,8,8540,10678,11080
3439,1027,1,8067,1274,7059
13012,416,1,8627,985,10823
4841,384,8,8950,8586,1259
9298,619,8,8545,2526,6736
10944,1926,1,8166,6999,4832
3426,779,3,8144,4801,38
11082,1941,8,8937,10498,7711
13374,1048,8,8904,11990,4460
4857,2264,1,8552,815,1439
12688,2414,3,8639,5786,7930
14615,2159,8,8354,9812,8265
6794,937,3,8388,3277,10831
3566,405,1,8003,9751,7779
11292,1079,3,8362,5523,2356
2400,895,3,8004,845,3761
14188,148,1,8570,4721,9378
8749,762,3,7988,10389,10295
11414,660,3,8413,1168,3223
12835,1449,1,8903,515,691
5555,1019,1,8043,11128,5557
2785,2390,8,8035,10154,6941
12165,1183,3,8348,6728,10773
13235,1008,3,8007,4979,8325
3912,887,8,8114,6664,8089
4376,2320,8,8780,11645,3530
7709,822,1,8825,5271,7481
12847,948,3,8133,539,8549
2108,1457,3,8034,5966,6784
13734,2337,8,8226,2673,182
13706,684,3,8436,11050,6290
9144,1831,3,8239,7775,2902
14860,1309,1,8339,6054,2832
3193,1945,1,8173,4858,3080
360,711,3,8173,6361,11159
2001,1231,1,8649,2584,7577
13530,449,3,8122,11056,9068
7085,2169,8,8944,4092,237
7615,695,3,8888,400,8197
11752,2002,8,8923,1059,1369
3810,2028,8,8724,5909,11321
12994,1618,3,8867,3863,10713
12699,1370,3,8896,4160,10439
5601,2190,3,8725,8450,6496
1439,1518,8,8339,6053,1851
9692,124,3,8189,8598,11899
9783,1242,3,8565,3263,2545
2693,2228,1,8174,5307,3010
4426,1017,1,8480,1019,10769
2524,37,8,8953,10206,6615
2913,577,3,8683,4011,11291
5660,879,8,8028,1438,8796
13810,439,8,8015,6403,269
2204,405,1,8666,3635,9645
9185,1323,1,8537,9560,9215
6883,796,3,7962,5608,7285
14906,1884,8,8839,2959,1016
11188,1961,3,8787,1151,10358
8438,1536,3,7988,8398,8324
13205,82,1,8768,630,6655
998,636,3,7965,1749,1533
11750,228,1,8831,5601,6848
11839,1115,3,8186,4761,9093
10772,2117,3,8513,10573,1844
2990,796,1,8293,9230,9797
5802,90,8,8557,9652,7963
11223,1193,3,8407,3960,3049
8756,595,8,8880,459,6824
12614,407,3,8556,3193,1644
2131,1063,3,8009,5551,10275
6234,1475,3,8162,3877,2960
5720,1642,8,8533,1154,9070
9422,1234,3,8098,5712,989
12949,705,8,8372,7064,1575
14912,884,3,8796,9444,9621
5555,1827,8,8870,4312,2280
8042,1063,8,8268,3309,11317
3910,1730,8,8081,1488,7302
630,2094,8,8431,3598,10228
12832,1332,1,8268,5169,10037
7115,1842,1,8944,1500,8195
5533,1616,1,8720,5088,6927
5454,1278,1,8707,8108,63
5323,150,1,8704,2109,9599
1652,2384,3,8522,5250,4203
3362,2482,8,8434,9209,6946
