id_complaint,codeComplaint,status,subject,id_beneficiaryFK,id_providerFK
1,C-1,closed,Service Quality,3100,78
2,C-2,open,Late Delivery,2192,333
3,C-3,open,Late Delivery,4492,481
4,C-4,closed,Late Delivery,3946,562
5,C-5,open,Product Defect,3588,336
6,C-6,open,Product Defect,3383,558
7,C-7,open,Billing Issue,3542,441
8,C-8,open,Product Defect,1709,490
9,C-9,closed,Billing Issue,76,616
10,C-10,open,Late Delivery,1581,543
11,C-11,open,Billing Issue,4902,652
12,C-12,open,Service Quality,3237,414
13,C-13,open,Service Quality,1340,17
14,C-14,closed,Late Delivery,1776,292
15,C-15,closed,Service Quality,4580,385
16,C-16,open,Product Defect,1144,609
17,C-17,closed,Product Defect,1144,230
18,C-18,open,Late Delivery,1847,174
19,C-19,closed,Product Defect,4879,576
20,C-20,closed,Service Quality,512,372
21,C-21,open,Late Delivery,3604,724
22,C-22,closed,Billing Issue,4108,349
23,C-23,open,Late Delivery,1421,511
24,C-24,open,Late Delivery,282,450
25,C-25,closed,Late Delivery,2674,739
26,C-26,closed,Late Delivery,1384,767
27,C-27,closed,Billing Issue,15,116
28,C-28,closed,Billing Issue,885,44
29,C-29,open,Service Quality,3719,208
30,C-30,open,Billing Issue,398,786
31,C-31,open,Product Defect,4546,404
32,C-32,closed,Billing Issue,996,47
33,C-33,closed,Billing Issue,2650,673
34,C-34,closed,Product Defect,2463,273
35,C-35,open,Late Delivery,520,425
36,C-36,open,Billing Issue,3510,761
37,C-37,closed,Service Quality,4034,366
38,C-38,open,Late Delivery,372,324
39,C-39,open,Late Delivery,1431,466
40,C-40,open,Service Quality,1661,532
41,C-41,closed,Late Delivery,3138,277
42,C-42,closed,Product Defect,4778,766
43,C-43,closed,Billing Issue,3185,474
44,C-44,open,Late Delivery,4131,402
45,C-45,open,Late Delivery,4452,25
46,C-46,closed,Late Delivery,2,294
47,C-47,closed,Late Delivery,406,95
48,C-48,open,Late Delivery,2745,52
49,C-49,open,Billing Issue,2274,765
50,C-50,closed,Product Defect,1621,115
51,C-51,open,Product Defect,3031,348
52,C-52,open,Product Defect,1488,282
53,C-53,closed,Late Delivery,1047,15
54,C-54,closed,Billing Issue,2503,331
55,C-55,open,Late Delivery,1825,11
56,C-56,open,Billing Issue,4471,537
57,C-57,closed,Service Quality,3997,398
58,C-58,open,Late Delivery,689,645
59,C-59,closed,Late Delivery,3148,183
60,C-60,open,Service Quality,2632,763
61,C-61,open,Billing Issue,1302,704
62,C-62,open,Billing Issue,1283,206
63,C-63,open,Service Quality,4011,127
64,C-64,closed,Billing Issue,777,355
65,C-65,open,Billing Issue,4519,502
66,C-66,open,Late Delivery,4231,688
67,C-67,open,Late Delivery,1978,110
68,C-68,open,Service Quality,1814,545
69,C-69,closed,Billing Issue,3257,362
70,C-70,open,Product Defect,3391,580
71,C-71,open,Product Defect,4427,126
72,C-72,closed,Late Delivery,4203,768
73,C-73,open,Service Quality,342,742
74,C-74,closed,Billing Issue,2057,613
75,C-75,closed,Service Quality,1323,630
76,C-76,closed,Product Defect,578,741
77,C-77,open,Service Quality,2920,273
78,C-78,closed,Product Defect,4461,775
79,C-79,open,Service Quality,3292,483
80,C-80,open,Late Delivery,1938,329
81,C-81,closed,Product Defect,590,140
82,C-82,open,Billing Issue,4868,288
83,C-83,closed,Billing Issue,1820,630
84,C-84,open,Product Defect,2583,180
85,C-85,closed,Service Quality,313,231
86,C-86,closed,Service Quality,1682,608
87,C-87,open,Service Quality,4547,580
88,C-88,closed,Billing Issue,1910,294
89,C-89,open,Service Quality,887,179
90,C-90,closed,Late Delivery,564,618
91,C-91,open,Late Delivery,4319,531
92,C-92,open,Late Delivery,1487,667
93,C-93,open,Product Defect,3171,68
94,C-94,closed,Service Quality,4546,281
95,C-95,open,Service Quality,2478,311
96,C-96,open,Billing Issue,485,323
97,C-97,closed,Product Defect,1125,259
98,C-98,open,Service Quality,4344,266
99,C-99,open,Late Delivery,3687,65
100,C-100,closed,Billing Issue,2972,356
101,C-101,closed,Service Quality,2534,625
102,C-102,open,Billing Issue,2178,445
103,C-103,closed,Late Delivery,3974,325
104,C-104,closed,Product Defect,2810,321
105,C-105,closed,Product Defect,3533,194
106,C-106,closed,Billing Issue,3144,77
107,C-107,closed,Late Delivery,2061,470
108,C-108,closed,Product Defect,1373,720
109,C-109,closed,Late Delivery,3698,229
110,C-110,open,Late Delivery,2412,735
111,C-111,closed,Product Defect,2978,18
112,C-112,open,Service Quality,561,108
113,C-113,open,Billing Issue,1089,232
114,C-114,open,Billing Issue,4665,603
115,C-115,open,Late Delivery,1686,650
116,C-116,open,Service Quality,715,368
117,C-117,open,Service Quality,1575,188
118,C-118,open,Product Defect,4715,657
119,C-119,open,Late Delivery,1676,499
120,C-120,closed,Product Defect,3244,777
121,C-121,open,Product Defect,2517,94
122,C-122,open,Billing Issue,3505,80
123,C-123,open,Service Quality,3683,301
124,C-124,closed,Service Quality,3465,68
125,C-125,closed,Product Defect,1862,498
126,C-126,open,Service Quality,1213,509
127,C-127,closed,Late Delivery,975,310
128,C-128,open,Billing Issue,2881,612
129,C-129,closed,Late Delivery,436,613
130,C-130,closed,Product Defect,2919,764
131,C-131,open,Service Quality,1343,614
132,C-132,open,Billing Issue,4602,116
133,C-133,open,Product Defect,372,114
134,C-134,open,Service Quality,4335,774
135,C-135,closed,Product Defect,2382,270
136,C-136,open,Late Delivery,2381,77
137,C-137,closed,Billing Issue,3607,138
138,C-138,open,Late Delivery,2775,173
139,C-139,open,Late Delivery,179,525
140,C-140,open,Service Quality,2286,766
141,C-141,open,Service Quality,4462,116
142,C-142,open,Product Defect,1662,776
143,C-143,open,Service Quality,2722,453
144,C-144,closed,Late Delivery,4175,436
145,C-145,closed,Late Delivery,270,285
146,C-146,closed,Late Delivery,1391,678
147,C-147,closed,Service Quality,1789,760
148,C-148,open,Late Delivery,2648,347
149,C-149,open,Late Delivery,4489,2
150,C-150,open,Billing Issue,4600,283
151,C-151,closed,Product Defect,4806,315
152,C-152,open,Late Delivery,3910,787
153,C-153,open,Late Delivery,39,30
154,C-154,closed,Service Quality,837,769
155,C-155,open,Service Quality,762,276
156,C-156,closed,Billing Issue,4706,635
157,C-157,closed,Service Quality,4104,528
158,C-158,closed,Service Quality,1591,656
159,C-159,open,Billing Issue,4705,260
160,C-160,open,Late Delivery,3255,160
161,C-161,closed,Billing Issue,1781,672
162,C-162,open,Product Defect,1964,341
163,C-163,open,Service Quality,2220,699
164,C-164,open,Product Defect,333,117
165,C-165,open,Billing Issue,3918,116
166,C-166,open,Billing Issue,4036,621
167,C-167,open,Service Quality,1918,701
168,C-168,closed,Billing Issue,2301,101
169,C-169,closed,Late Delivery,3554,341
170,C-170,open,Billing Issue,421,420
171,C-171,closed,Late Delivery,3663,407
172,C-172,closed,Billing Issue,4080,102
173,C-173,closed,Billing Issue,1473,523
174,C-174,open,Service Quality,4463,688
175,C-175,closed,Billing Issue,3957,99
176,C-176,closed,Product Defect,1155,107
177,C-177,open,Service Quality,4456,759
178,C-178,open,Late Delivery,1077,686
179,C-179,closed,Late Delivery,828,671
180,C-180,open,Service Quality,3342,287
181,C-181,closed,Service Quality,217,16
182,C-182,open,Billing Issue,1065,422
183,C-183,closed,Service Quality,3161,21
184,C-184,closed,Billing Issue,1475,493
185,C-185,open,Late Delivery,4052,97
186,C-186,open,Billing Issue,3055,173
187,C-187,closed,Service Quality,3951,596
188,C-188,open,Late Delivery,933,638
189,C-189,open,Product Defect,1579,509
190,C-190,closed,Product Defect,2220,10
191,C-191,closed,Billing Issue,1229,96
192,C-192,closed,Billing Issue,4698,390
193,C-193,open,Late Delivery,2591,137
194,C-194,closed,Billing Issue,809,577
195,C-195,closed,Late Delivery,1380,507
196,C-196,open,Service Quality,2863,539
197,C-197,open,Billing Issue,981,475
198,C-198,open,Product Defect,4203,391
199,C-199,open,Billing Issue,1657,40
200,C-200,closed,Late Delivery,1840,468
201,C-201,open,Late Delivery,391,605
202,C-202,open,Product Defect,2173,496
203,C-203,closed,Service Quality,3603,562
204,C-204,open,Late Delivery,4055,679
205,C-205,closed,Late Delivery,1787,305
206,C-206,closed,Product Defect,1975,676
207,C-207,closed,Service Quality,373,37
208,C-208,open,Service Quality,2375,432
209,C-209,open,Product Defect,156,481
210,C-210,open,Service Quality,3800,294
211,C-211,closed,Product Defect,3784,578
212,C-212,open,Late Delivery,343,8
213,C-213,closed,Billing Issue,4438,321
214,C-214,closed,Late Delivery,2115,17
215,C-215,closed,Service Quality,3681,2
216,C-216,open,Product Defect,2946,497
217,C-217,open,Late Delivery,1799,459
218,C-218,open,Late Delivery,202,474
219,C-219,closed,Billing Issue,3371,179
220,C-220,closed,Late Delivery,3055,752
221,C-221,open,Late Delivery,340,303
222,C-222,open,Late Delivery,237,381
223,C-223,closed,Product Defect,1601,788
224,C-224,closed,Late Delivery,4052,428
225,C-225,closed,Service Quality,2404,600
226,C-226,closed,Service Quality,4044,688
227,C-227,open,Service Quality,2987,211
228,C-228,open,Late Delivery,4125,730
229,C-229,closed,Billing Issue,4066,262
230,C-230,open,Service Quality,1445,307
231,C-231,closed,Service Quality,3380,472
232,C-232,open,Billing Issue,1084,676
233,C-233,open,Service Quality,29,137
234,C-234,closed,Product Defect,1293,701
235,C-235,open,Late Delivery,3836,464
236,C-236,closed,Product Defect,190,522
237,C-237,closed,Service Quality,32,139
238,C-238,open,Service Quality,783,62
239,C-239,closed,Product Defect,4795,629
240,C-240,open,Service Quality,2381,131
241,C-241,open,Billing Issue,3821,696
242,C-242,closed,Service Quality,3204,100
243,C-243,open,Billing Issue,4673,326
244,C-244,closed,Service Quality,332,694
245,C-245,open,Service Quality,3832,727
246,C-246,open,Product Defect,4383,583
247,C-247,closed,Service Quality,1443,250
248,C-248,closed,Service Quality,1639,498
249,C-249,open,Service Quality,3076,708
250,C-250,closed,Late Delivery,2615,753
251,C-251,open,Product Defect,3001,117
252,C-252,open,Billing Issue,3826,246
253,C-253,open,Late Delivery,892,187
