id_date,Date,Day,Month,Year
1,2000-04-03,03,04,2000
2,2000-04-04,04,04,2000
3,2000-04-05,05,04,2000
4,2000-04-06,06,04,2000
5,2000-04-07,07,04,2000
6,2000-04-08,08,04,2000
7,2000-04-09,09,04,2000
8,2000-04-10,10,04,2000
9,2000-04-11,11,04,2000
10,2000-04-12,12,04,2000
11,2000-04-13,13,04,2000
12,2000-04-14,14,04,2000
13,2000-04-15,15,04,2000
14,2000-04-16,16,04,2000
15,2000-04-17,17,04,2000
16,2000-04-18,18,04,2000
17,2000-04-19,19,04,2000
18,2000-04-20,20,04,2000
19,2000-04-21,21,04,2000
20,2000-04-22,22,04,2000
21,2000-04-23,23,04,2000
22,2000-04-24,24,04,2000
23,2000-04-25,25,04,2000
24,2000-04-26,26,04,2000
25,2000-04-27,27,04,2000
26,2000-04-28,28,04,2000
27,2000-04-29,29,04,2000
28,2000-04-30,30,04,2000
29,2000-05-01,01,05,2000
30,2000-05-02,02,05,2000
31,2000-05-03,03,05,2000
32,2000-05-04,04,05,2000
33,2000-05-05,05,05,2000
34,2000-05-06,06,05,2000
35,2000-05-07,07,05,2000
36,2000-05-08,08,05,2000
37,2000-05-09,09,05,2000
38,2000-05-10,10,05,2000
39,2000-05-11,11,05,2000
40,2000-05-12,12,05,2000
41,2000-05-13,13,05,2000
42,2000-05-14,14,05,2000
43,2000-05-15,15,05,2000
44,2000-05-16,16,05,2000
45,2000-05-17,17,05,2000
46,2000-05-18,18,05,2000
47,2000-05-19,19,05,2000
48,2000-05-20,20,05,2000
49,2000-05-21,21,05,2000
50,2000-05-22,22,05,2000
51,2000-05-23,23,05,2000
52,2000-05-24,24,05,2000
53,2000-05-25,25,05,2000
54,2000-05-26,26,05,2000
55,2000-05-27,27,05,2000
56,2000-05-28,28,05,2000
57,2000-05-29,29,05,2000
58,2000-05-30,30,05,2000
59,2000-05-31,31,05,2000
60,2000-06-01,01,06,2000
61,2000-06-02,02,06,2000
62,2000-06-03,03,06,2000
63,2000-06-04,04,06,2000
64,2000-06-05,05,06,2000
65,2000-06-06,06,06,2000
66,2000-06-07,07,06,2000
67,2000-06-08,08,06,2000
68,2000-06-09,09,06,2000
69,2000-06-10,10,06,2000
70,2000-06-11,11,06,2000
71,2000-06-12,12,06,2000
72,2000-06-13,13,06,2000
73,2000-06-14,14,06,2000
74,2000-06-15,15,06,2000
75,2000-06-16,16,06,2000
76,2000-06-17,17,06,2000
77,2000-06-18,18,06,2000
78,2000-06-19,19,06,2000
79,2000-06-20,20,06,2000
80,2000-06-21,21,06,2000
81,2000-06-22,22,06,2000
82,2000-06-23,23,06,2000
83,2000-06-24,24,06,2000
84,2000-06-25,25,06,2000
85,2000-06-26,26,06,2000
86,2000-06-27,27,06,2000
87,2000-06-28,28,06,2000
88,2000-06-29,29,06,2000
89,2000-06-30,30,06,2000
90,2000-07-01,01,07,2000
91,2000-07-02,02,07,2000
92,2000-07-03,03,07,2000
93,2000-07-04,04,07,2000
94,2000-07-05,05,07,2000
95,2000-07-06,06,07,2000
96,2000-07-07,07,07,2000
97,2000-07-08,08,07,2000
98,2000-07-09,09,07,2000
99,2000-07-10,10,07,2000
100,2000-07-11,11,07,2000
101,2000-07-12,12,07,2000
102,2000-07-13,13,07,2000
103,2000-07-14,14,07,2000
104,2000-07-15,15,07,2000
105,2000-07-16,16,07,2000
106,2000-07-17,17,07,2000
107,2000-07-18,18,07,2000
108,2000-07-19,19,07,2000
109,2000-07-20,20,07,2000
110,2000-07-21,21,07,2000
111,2000-07-22,22,07,2000
112,2000-07-23,23,07,2000
113,2000-07-24,24,07,2000
114,2000-07-25,25,07,2000
115,2000-07-26,26,07,2000
116,2000-07-27,27,07,2000
117,2000-07-28,28,07,2000
118,2000-07-29,29,07,2000
119,2000-07-30,30,07,2000
120,2000-07-31,31,07,2000
121,2000-08-01,01,08,2000
122,2000-08-02,02,08,2000
123,2000-08-03,03,08,2000
124,2000-08-04,04,08,2000
125,2000-08-05,05,08,2000
126,2000-08-06,06,08,2000
127,2000-08-07,07,08,2000
128,2000-08-08,08,08,2000
129,2000-08-09,09,08,2000
130,2000-08-10,10,08,2000
131,2000-08-11,11,08,2000
132,2000-08-12,12,08,2000
133,2000-08-13,13,08,2000
134,2000-08-14,14,08,2000
135,2000-08-15,15,08,2000
136,2000-08-16,16,08,2000
137,2000-08-17,17,08,2000
138,2000-08-18,18,08,2000
139,2000-08-19,19,08,2000
140,2000-08-20,20,08,2000
141,2000-08-21,21,08,2000
142,2000-08-22,22,08,2000
143,2000-08-23,23,08,2000
144,2000-08-24,24,08,2000
145,2000-08-25,25,08,2000
146,2000-08-26,26,08,2000
147,2000-08-27,27,08,2000
148,2000-08-28,28,08,2000
149,2000-08-29,29,08,2000
150,2000-08-30,30,08,2000
151,2000-08-31,31,08,2000
152,2000-09-01,01,09,2000
153,2000-09-02,02,09,2000
154,2000-09-03,03,09,2000
155,2000-09-04,04,09,2000
156,2000-09-05,05,09,2000
157,2000-09-06,06,09,2000
158,2000-09-07,07,09,2000
159,2000-09-08,08,09,2000
160,2000-09-09,09,09,2000
161,2000-09-10,10,09,2000
162,2000-09-11,11,09,2000
