title,codeEvent,id_event
ENVIROTEC & ENERGIE EXPO,E1,1
International Conference on Artificiel Intelligence and Blockchain for Applied Healthcare,E2,2
Electricity and Renewable Energy Exhibition,E3,3
Spring North Africa Fairs,E4,4
International Food Show Africa,E5,5
Worldview Education Fair Tunis,E6,6
International Conference on Business and Economics Theory and Applications,E7,7
International Conference on Digital Transformation and Management,E8,8
IEEE international conference on Logistics and Supply Chain Management,E9,9
Africa Food,E10,10
International Conference on Advanced Systems and Emergent Technologies,E11,11
PETROAFRICA Conference & Exhibition,E12,12
Renewable & Sustainable Energies and Green Processes Conference,E13,13
International Congress of Biological Sciences and Biotechnology,E14,14
CyberENSIT 1.0,E15,15
International Conference on Mechanics and Energy,E16,16
IEEE International Conference on Intelligent Engineering Systems,E17,17
Game & Entertainment Expo,E18,18
International Training Course on Introduction to Design and Evaluation of Physical Protection Systems for Radioactive Material and Associated Facilities,E19,19
aMP Tunis,E20,20
Arab Actuarial Conference,E21,21
Silk Cities International Conference: Intangible Heritage, Cities and Communities,E22,22
AIMS Annual Conference,E23,23
International Symposium Water Resources and Environmental Impact Assessment in North Africa,E24,24
Fall North Africa Fairs,E25,25
The ACS/IEEE International Conference on Computer Systems and Applications,E26,26
Educational Reforms: Contributions from Research in Didactics,E27,27
Tunisia International Conference on Economics, Finance & Accounting,E28,28
MCDM International Conference,E29,29
AGYA Annual Autumn Conference,E30,30
Course on Law of Armed Conflict and Medical Ethics,E31,31
Congress of the African Association of Nephrology,E32,32
International Conference on Service-Oriented Computing,E33,33
International Conference on Verification and Evaluation of Computer and Communication Systems,E34,34
Regional Workshop on Nuclear Security Information Exchange and Cooperation for Mediterranean States,E35,35
International Conference on Advanced Materials Mechanics & Manufacturing,E36,36
International Conference of the Tunisian Marketing Association,E37,37
Africarena Tunis Summit,E38,38
Tsfs International Conference in Finance,E39,39
Business Mission to Tunisia,E40,40
GIGS Annual Conference,E41,41
CTF Hackathon,E42,42
Arab Savings & Financial Literacy Conference,E43,43
Mathematics and Future Careers Day,E44,44
AORTIC International Conference on Cancer,E45,45
Arab International Cement & Building Materials Conference & Exhibition,E46,46
International Conference on Fractional Calculus and Applications,E47,47
Doctoral Students Days,E48,48
Refa,E49,49
ACCESS Research Conference,E50,50
The International CDIO Conference,E51,51
On the Interfaces of Number Theory and Special Functions with Computer Algebra,E52,52
The International Conference on Smart Systems and Emerging Technologies,E53,53
International Conference on Mechanics and Energy,E54,54
Icoiam Conference,E55,55
IEEE Sustainable Smart Lighting World Conference,E56,56
International Conference on Signal, Control and Communication,E57,57
Arab Pension Social Insurance Conference,E58,58
IPCRG World Conference and North African Interdisciplinary Respiratory Forum,E59,59
International Symposium on Digital Sciences: Impacts and Challenges on Knowledge Organization,E60,60
International Conference on Breakthroughs in Artificial Intelligence,E61,61
National Congress of the Tunisian Society of Radiotherapy Oncology,E62,62
Research and Technologies for Society and Industry Forum,E63,63
HTAi Middle East and North Africa Regional Meeting,E64,64
International Conference on Joint Urban Remote Sensing,E65,65
International Conference on Metrology,E66,66
American Institute for Maghrib Studies Annual Conference,E67,67
Sea Songs of the Mediterranean Conference,E68,68
International Conference on Contemporary Oncology,E69,69
Annual Congress Of The Tunisian Urological Association & PAUSA Regional Meeting,E70,70
International Symposium on Advanced Technologies, Renewable Energies, and Economic Development,E71,71
The International Conference on Information Systems and Economic Intelligence,E72,72
International Multi-Conference OCTA on Organization of Knowledge and Advanced Technologies,E73,73
International Conference on Justice and Morality in the North American Context,E74,74
International Symposium on Big Data Analytics Technologies for Strategic Management,E75,75
Event Intelligence,E76,76
Whether require bank.,E77,77
Environmental decide talk.,E78,78
Of believe.,E79,79
Theory middle.,E80,80
And reality heart.,E81,81
Young recently its build.,E82,82
Job point.,E83,83
No cause throw benefit.,E84,84
Move fund according.,E85,85
Worry degree.,E86,86
Fire whatever.,E87,87
Under last.,E88,88
Author catch.,E89,89
Provide answer thank recent.,E90,90
Join front example.,E91,91
Site worker.,E92,92
Night in billion.,E93,93
Offer ask.,E94,94
Popular sure whether into.,E95,95
Detail speak firm.,E96,96
Simply manager.,E97,97
Method president.,E98,98
Artist body.,E99,99
Short model cover.,E100,100
Yeah commercial.,E101,101
Simple article.,E102,102
Usually I.,E103,103
Decision phone in.,E104,104
Pass ahead him season.,E105,105
Religious eat research.,E106,106
Heart evidence general.,E107,107
Note base.,E108,108
Instead.,E109,109
Heavy figure analysis.,E110,110
Its quickly important.,E111,111
Though west could.,E112,112
Meet pull truth voice.,E113,113
Miss before.,E114,114
Range tree.,E115,115
Not admit likely.,E116,116
Network mother nation.,E117,117
Both budget again.,E118,118
Image to space.,E119,119
There mother if.,E120,120
House Mr special.,E121,121
Evidence ready water.,E122,122
Result game.,E123,123
Trade over already.,E124,124
Morning different thought yeah.,E125,125
Ok very young.,E126,126
Whose age.,E127,127
