budget,Date_FK,id_beneficiary_FK,id_category_FK
46238,9281,2596,3
42004,8172,3560,21
379020,8536,4683,1
49114,8404,4372,3
10776,9337,834,21
12456,9270,4957,23
41934,8375,1516,23
41298,8563,2035,23
49954,9477,4156,21
38722,8274,1809,3
4036,8086,2626,1
37826,8211,2849,23
38722,9458,1368,21
38722,9285,4728,23
7420,8069,3197,23
16425,8275,,21
970060,8335,594,23
36074,8395,4829,23
38209,8996,4680,21
13816,8772,2837,23
5420,9354,3699,23
38722,8187,3208,3
617740,9492,2910,3
26752,8985,848,1
11506,9174,1682,3
14631,8066,3260,23
17334,9077,2071,3
42778,9084,907,3
3576,9435,682,3
12256,8507,2381,23
38722,8413,54,3
5197,8083,4463,3
38722,9416,4015,3
41178,8465,543,23
11289,8707,160,1
38722,8202,2487,1
46130,8561,3517,3
38722,8134,88,21
30608,8529,4334,3
322660,8426,2250,3
13942,8714,3562,1
38722,9184,3405,1
47495,8290,3159,21
37579,9421,1691,3
1094,8607,155,1
26528,8837,36,21
3007,8625,4525,23
2800,9380,2453,21
10352,8882,4225,3
1235,8642,50,23
21830,9376,4696,21
47208,8436,2715,3
25410,8537,4528,3
4145,9159,3646,21
42678,8753,2508,1
33567,8394,4881,3
24863,8255,1304,23
22274,9441,3793,3
30184,9167,331,21
15486,8948,1950,1
2302,8771,4858,1
31860,9150,1076,23
12671,8487,2417,23
44302,9258,2671,1
49264,9191,3645,23
33500,8217,3680,3
38722,8494,2715,23
31653,8329,2664,23
38722,8833,4347,23
38384,8116,2856,1
44207,8380,1651,3
25832,9255,64,1
34686,8976,1065,1
45015,9220,58,3
46013,9052,958,1
17149,9208,4730,21
39954,8252,3228,23
4187,8488,4432,21
35016,8335,4199,21
43726,8565,3244,21
46657,9494,34,1
31819,9239,2267,23
21488,9352,2271,23
8229,8125,3491,3
9876,8740,2439,3
30617,9200,254,21
49078,8735,4225,3
22586,9341,3786,1
40712,9209,4148,23
38722,9167,4312,21
21278,8483,4005,1
46444,8943,3818,1
31519,8229,2592,3
38722,9319,3178,3
39264,8427,2315,23
1894,8424,1065,23
37328,8125,713,3
10059,9436,1603,23
11395,8679,974,23
19660,8356,1544,1
10152,8540,614,21
20137,9291,4794,1
16926,8679,344,21
10751,8878,604,23
13750,8670,4618,23
18963,8839,883,3
37111,9394,3913,3
45367,8066,244,23
29678,8248,1225,3
36456,9380,2988,1
26310,8895,2035,23
899740,8562,2787,23
39052,8295,2727,3
581900,9057,,23
16210,9036,4724,3
48393,8575,290,21
2915,9458,3280,3
38064,9390,3475,3
757680,9441,4623,1
30106,8727,854,21
31009,8113,195,21
48271,8734,317,3
4658,8464,3745,1
29601,8372,1494,21
48717,9366,1895,3
39546,8185,4735,3
25767,9285,2763,1
314020,8211,346,21
4647,8294,3796,3
30128,8409,2586,1
19748,8700,1365,21
36881,8164,,3
46414,9457,649,1
11971,9218,2120,23
28260,8785,1126,23
49539,9042,160,21
43384,8580,2807,23
12592,8482,2053,21
31754,9135,30,21
46670,8595,3835,21
31025,8145,1166,1
41292,9279,4471,3
38722,9106,4200,3
10609,9444,2107,21
8833,8039,611,21
38722,8905,3259,21
38722,8449,3097,21
21028,9219,1183,1
31553,8427,2151,3
9751,8776,2213,23
6452,8073,4558,1
45624,8077,971,1
637700,9090,3981,21
31886,8156,3479,3
36911,8943,1243,21
43474,8881,2684,1
5415,9205,3842,1
4342,9053,231,23
38722,8799,2368,23
38050,9442,1439,3
3147,9418,2986,21
41918,9006,2735,21
42943,9264,2534,21
17672,8379,2113,21
44840,8152,2329,21
8405,8469,,1
7089,8421,3639,3
28770,8846,3108,21
35968,9421,4344,1
21986,8218,2468,21
40237,8780,4229,21
34366,8595,4224,1
4821,8728,2321,3
49134,8765,2710,23
2756,9219,1497,3
17936,8535,4843,21
8161,8275,4245,1
25375,8182,3362,23
45395,9084,4887,23
15573,8193,,21
33773,8144,,21
38722,9126,1280,1
10686,8894,4058,23
44430,8054,2429,23
36825,9213,4490,21
7683,8325,3855,23
45766,9142,3167,23
1322,9232,850,21
32573,8553,661,3
18186,8975,4386,23
4107,8741,3472,3
30229,8913,4831,21
36504,9000,2699,23
34601,8962,1931,1
383900,9287,4762,3
46345,8888,2690,1
40457,9461,4764,1
14683,8547,909,1
11039,9118,3921,23
40586,9407,573,1
24602,8860,1967,3
38722,8990,2747,21
41192,8098,837,3
25822,9484,1977,23
17257,8938,4031,3
5417,9338,2444,23
30921,8758,862,1
9523,8466,4027,1
36686,9178,3237,1
28275,9464,4184,23
22713,8808,2672,21
47442,8200,1354,1
42187,9430,1143,23
5982,9394,3546,21
39273,8684,3196,23
39622,9277,1439,23
36183,8357,3679,23
3359,8128,1373,3
41428,8979,,3
49876,8071,3127,21
35272,8637,3937,21
36726,8912,1525,23
31880,8984,1993,1
216000,9026,2201,3
29680,8051,1818,3
18429,8747,3935,23
16906,8907,3711,3
38722,8111,1745,23
23259,9482,499,3
9246,8488,1395,3
37094,8954,2558,1
38722,8558,2713,3
23425,8877,4742,3
30482,8975,855,23
7815,9179,,1
39258,8621,1908,21
35579,8740,2434,1
19254,8578,4092,21
49897,8420,1336,1
19574,8713,3586,21
58020,8903,2145,3
21498,9251,1308,23
28639,9036,1691,23
4876,8133,4718,3
690620,8277,747,21
25636,8495,4504,21
41930,9159,313,1
36444,8276,1694,3
30952,8441,174,21
9473,8958,581,21
21890,8786,3791,23
46667,9404,4053,23
23323,9289,209,23
37906,8206,4211,23
24891,8623,,3
11515,8305,1175,23
5043,9406,609,3
26844,8234,759,3
20619,8803,2619,23
38722,8455,3880,3
42331,9312,1659,21
2685,9157,1545,1
48761,8532,1381,1
38722,8622,4774,3
14125,8930,4718,1
17417,8218,2964,1
48083,8374,4776,23
17572,9379,2662,3
20823,8213,933,1
14365,8514,3875,23
5499,9267,1441,21
31256,8888,1960,21
20028,8274,213,3
11841,9462,1834,1
3584,9249,1334,1
38722,9270,4739,1
25893,8655,1543,3
8668,8257,4204,1
11097,8481,4601,21
48648,8460,1913,3
29248,9319,2461,1
47630,8178,93,1
43938,9159,944,1
34172,9018,248,23
8340,8458,2040,1
18854,8576,228,21
33315,9100,2826,21
4803,9052,2934,3
47365,8977,3092,1
38722,8844,4076,3
43106,8194,2585,1
46221,8100,1686,21
38722,8982,4865,23
40815,9260,3254,21
45985,8317,1788,3
46221,8096,4284,23
1583,9224,2248,1
43989,8898,1772,3
20545,8099,2766,21
36030,8637,1402,3
16951,9265,1528,21
10315,8702,3063,3
37071,8598,1734,1
41645,9216,1760,1
21369,8375,3510,3
33480,8459,1602,21
26977,9337,4358,3
2113,9460,3597,23
24861,8883,4238,23
29228,9494,1892,21
38722,8303,866,3
30974,8382,3274,21
3445,8770,4202,1
7778,8588,3030,1
29797,8267,3107,3
5485,9140,2515,1
26343,8443,732,1
34842,8855,2727,1
23393,9328,2116,23
12498,9062,4150,21
17743,8511,2187,1
2789,9422,2301,23
23148,8762,235,21
1581,8051,4924,1
28109,8318,1807,3
35253,9239,1030,23
46250,8948,3200,3
35758,8789,4759,1
22288,9329,2119,3
2925,9275,2955,21
3172,8179,158,23
16764,9117,1547,23
38722,8986,1415,21
32916,8714,1017,23
20980,9253,2336,23
41177,8913,1133,23
6540,9463,3565,23
9547,8382,920,1
28191,8173,1677,21
18753,9224,2613,23
39343,8678,1744,21
37097,8369,747,21
38722,8131,105,21
31482,8248,2768,23
30391,8190,336,3
18732,9196,737,23
46799,8627,2568,3
47768,8343,1748,3
32679,9132,3321,23
44151,9173,396,3
10078,8704,3870,21
7282,8736,531,3
35385,8996,598,23
48286,9035,951,1
28297,8652,2086,23
26023,8204,495,3
38785,8658,4010,23
14951,9410,1514,23
16805,9407,4584,23
45216,9051,3841,1
37720,8284,1985,23
12310,8231,4511,1
11710,8868,3352,1
44636,8076,2954,21
48115,9161,3764,23
5140,8861,889,3
960140,8065,79,21
39910,8080,3993,3
35090,9117,3561,21
39013,8111,4675,1
34741,9070,3566,3
33224,9144,1442,21
41349,8158,2204,23
23302,8941,3238,21
24622,8220,4114,3
7747,9237,4731,21
478780,8119,1085,23
10775,8932,1850,21
4823,8833,2829,23
12261,8797,1979,3
1662,8104,2113,21
3570,8502,4219,21
23467,8341,3921,21
25123,8738,3951,3
38722,8087,1720,23
27177,8872,1591,3
9913,8509,1062,23
10794,8763,4257,3
16130,8485,1526,3
23086,8462,1880,3
48019,9468,57,1
36600,8676,2057,3
38722,8949,1566,3
16284,8439,4370,3
19411,9336,1048,1
24596,9158,,1
31457,8243,932,23
32294,9207,3164,1
20385,9482,1181,23
7282,9400,3798,3
41679,8928,1690,23
47746,8959,4280,21
35689,8455,4311,3
38722,9208,4975,21
31719,9423,1731,3
6262,8083,4865,1
34410,9228,2830,21
24776,9431,1047,1
454660,8929,302,21
27428,8494,,21
31869,8646,2021,21
10327,8770,8,1
16146,8416,3123,21
12068,8703,1983,21
45368,8458,1867,21
40096,9296,60,23
14176,8749,3398,23
24743,9393,611,3
31797,9041,1226,1
49387,8069,1672,21
25914,8490,2875,3
49223,8981,1393,3
48822,9071,4903,3
38722,8838,4754,1
9116,8058,3247,21
48185,8083,1264,3
28089,8953,3843,3
34691,8780,749,23
32741,8156,4911,1
13964,8886,4582,23
160820,8753,2228,3
28424,9213,4045,23
14985,8515,2668,1
38722,9209,3187,23
29622,8216,4443,21
20853,8943,3646,3
18920,8577,4163,21
38722,9067,2650,3
4785,8129,2298,21
26774,9347,2443,3
16217,9119,1449,23
8346,8246,264,21
38722,8167,1717,1
22634,8896,3500,21
1045,9240,3908,3
27369,8602,672,1
28920,8400,363,23
16580,9430,2877,23
37126,9491,4613,1
42866,8656,1761,3
15200,9150,11,21
7580,9092,213,1
11967,9023,868,1
3042,8639,776,21
36519,8804,743,21
40173,9200,1554,1
38722,8802,2753,23
8917,9412,4722,3
27986,8203,630,21
653100,8060,4895,3
14369,9180,142,23
33138,9474,686,21
11072,8487,609,3
13760,8759,345,3
38722,8580,1747,1
32326,8186,4064,21
24803,8751,2089,21
728960,8855,3396,3
49539,8104,3182,1
39791,8795,2606,21
33137,8381,394,21
43154,8204,1885,3
45534,9283,486,3
12934,9232,4758,21
48228,8158,1812,3
8538,9394,4547,21
44129,9472,166,1
39186,9333,4486,21
38722,8772,730,3
5266,8137,49,21
35004,8598,2074,1
17718,8870,4093,1
7698,9167,3481,23
37957,8611,245,23
549440,9429,4109,23
3276,8306,2149,21
23313,9253,4682,23
43851,8565,641,23
20991,9304,2942,23
30773,9369,1468,21
21722,9418,3721,23
27623,9275,1600,23
3942,8622,1012,21
31763,9413,4772,23
1938,9442,3180,21
6557,8836,3567,21
1516,8668,2213,3
27215,9254,3958,21
43628,8847,4077,3
49890,9437,516,3
24850,9055,711,3
47976,8697,1664,3
23295,8836,4269,1
22038,9107,4917,23
26590,8963,464,23
23248,8053,,3
14055,8422,3044,23
562240,9291,2361,3
44508,8343,55,1
40618,8337,2115,23
49769,8260,616,23
19418,9139,4195,21
15578,8440,3947,21
39780,8346,370,23
10737,8272,1869,3
7077,9312,4115,1
8146,8124,1234,21
21364,8873,4255,21
41406,8928,2963,23
34025,8615,1045,23
28329,9475,1601,3
33374,8342,1522,23
9405,8451,3817,1
35497,8419,378,23
17353,8785,4185,3
31915,8573,3565,21
38722,9488,4427,3
36781,8649,648,21
48379,8150,1701,23
5735,8477,4551,21
24586,8247,3246,3
38722,9378,674,23
17837,8576,125,1
26407,8623,2506,21
24103,8675,1750,3
5530,9291,1004,1
45795,8501,2267,3
39052,8374,234,21
140880,8130,1854,23
20299,9265,4519,23
47985,8177,,1
34537,9492,948,3
25009,8351,1781,23
30906,8486,2364,21
39231,8468,1372,3
13203,9270,3597,1
1903,8460,4304,23
15309,9174,3864,21
38722,8560,1812,1
27390,8760,3681,1
25748,8322,985,3
12861,9357,4760,1
14928,9068,3939,3
37411,8938,1766,23
40236,8059,4803,23
29238,9393,3285,21
44262,8103,,23
7193,8553,1685,23
23285,8604,922,1
35134,8923,2142,3
12882,8833,4566,21
38722,9486,3083,3
17542,9120,2770,21
38970,8777,4692,23
17908,9312,856,3
14669,8876,2757,21
38761,9038,4258,21
33268,8786,4580,23
28862,8669,4880,23
5782,8487,,1
43752,8646,1068,21
38722,9279,3327,21
38722,8093,672,1
15676,8721,2522,1
19550,8444,4092,23
41532,8189,713,1
1166,9111,3150,1
17389,9478,4939,23
38400,8738,1837,21
35754,8091,3783,21
44667,8962,4785,1
45275,8129,,3
12875,8495,2981,1
34352,9199,2187,3
24794,8997,2965,23
45697,8437,3825,21
1466,9432,3822,1
45297,9317,38,21
39419,8733,515,21
3289,9109,1643,21
23725,9017,1742,23
46669,8878,419,21
12024,8344,3476,21
23980,8577,3173,21
26232,9231,642,21
23863,9323,2254,3
30055,8691,2075,3
2541,8531,4920,3
868620,8595,2580,21
15876,8566,1942,1
29896,8752,3949,1
708080,8507,4372,3
25371,9225,2029,1
27678,8657,2267,1
