Date_FK,id_event_FK,id_service_FK,id_status_FK,id_evaluation_FK
9328,6879,819,1,9006
8491,6547,575,1,6472
9454,4505,2059,2,-1
8040,986,614,1,-1
8798,3677,361,2,11044
9217,8340,663,1,7376
8124,5789,2246,2,1754
9266,1602,2457,3,11907
8277,4862,2438,2,-1
9239,1657,771,3,4791
8971,1911,336,1,6747
8326,9186,2000,2,-1
8644,5467,1362,3,-1
8814,7604,1068,3,1490
9341,11314,135,3,-1
9233,133,1914,3,-1
8143,4300,2026,3,-1
8276,4713,1220,2,2914
8131,2721,2349,1,6146
9480,1124,1279,2,-1
9048,8858,972,1,-1
8656,11950,2190,2,-1
8816,5036,2085,2,1178
9068,1779,2370,2,-1
8106,4677,397,1,7500
8642,3843,1510,2,-1
8827,6435,742,3,8955
8963,6930,433,1,-1
8423,5029,115,3,-1
8526,4675,1083,2,-1
8315,4242,1491,2,-1
8054,8409,639,2,-1
8083,8096,2292,3,-1
8516,5796,1044,1,1266
8124,7443,2168,3,-1
9472,9047,1075,2,-1
9098,9874,773,2,-1
8050,10302,306,1,4100
9327,4401,1242,2,8825
9117,3665,2415,3,6504
9108,1159,2203,2,-1
8591,6801,2323,1,-1
8687,1566,1866,1,2367
8426,3759,942,3,-1
9319,2035,291,1,-1
8247,10553,1487,3,6825
8329,450,1026,2,-1
8158,3921,2056,1,-1
8656,143,584,1,5429
9400,5050,1835,2,-1
9449,3112,1156,3,11934
8525,1932,553,1,1593
9184,1308,1108,2,3765
8140,9206,1824,1,782
9100,9450,1534,3,-1
8401,3383,2020,2,2074
8441,2042,1366,1,-1
8690,7194,481,1,-1
8455,7544,266,1,-1
8858,2765,1058,2,11282
9205,1670,1733,3,3226
8804,8495,1079,2,-1
8969,4327,2146,1,11960
8739,8843,1,3,-1
8595,4698,529,3,5950
8147,3459,1184,2,2189
8070,11381,1381,3,-1
8708,3148,1335,2,-1
8345,10023,1032,1,-1
8998,10827,1393,1,5516
9181,2188,466,3,8846
8379,2260,1044,1,8180
8860,4507,533,1,7608
8847,1280,1321,3,10435
8040,3726,1670,2,-1
8243,1892,613,3,10709
8173,2789,1142,3,8492
9424,1099,1568,3,-1
8649,10314,32,2,1597
8429,9311,769,3,322
8847,6316,1667,2,2690
8728,10064,2080,1,10379
8444,11512,2072,1,-1
8713,3396,188,1,-1
9060,3414,1466,3,-1
8280,4684,967,3,-1
8755,1366,2034,1,-1
8283,11395,572,2,-1
9132,8249,1420,3,-1
8327,3375,1037,2,-1
9096,6894,1087,1,8591
9064,9496,212,1,-1
9017,7068,1334,2,-1
9063,9610,1520,1,-1
9473,1764,1977,3,4200
8910,7316,1211,1,6149
8070,5403,2492,2,-1
9246,3032,1325,3,2829
8838,2570,1136,1,-1
8927,8949,1388,2,7136
8680,1221,1559,3,-1
9087,8206,767,2,-1
9131,1993,1244,1,-1
9098,9057,770,2,10983
8360,2504,1965,3,-1
9196,6488,51,3,3279
8496,2716,649,2,11622
8167,5143,713,2,-1
9477,286,1947,3,-1
8162,3435,141,2,-1
9196,7570,679,1,2728
9450,3869,1615,2,-1
9089,314,2058,2,-1
9184,11068,1978,1,2552
8319,5837,263,2,3473
9063,11874,634,2,-1
8302,1203,811,1,-1
9002,8671,846,2,8807
8261,3368,2485,3,1661
9284,4107,2197,1,-1
8426,9707,601,2,2847
8652,7316,2386,3,-1
8070,5672,1432,1,-1
9248,2414,1761,3,-1
9321,4383,146,3,-1
8188,1462,33,2,-1
9481,4340,1142,1,7705
8306,4561,2129,3,5920
8945,6128,2304,2,10660
9206,3537,1848,3,2411
8284,5396,1077,3,-1
8075,6021,2135,3,-1
9293,3,2144,3,7824
8096,6090,327,1,2350
8368,6969,143,1,6954
8652,7766,2351,2,9049
8417,2487,2150,2,-1
8376,3762,743,2,-1
8980,10426,2400,1,-1
9161,6327,747,2,-1
8299,4385,823,2,1135
8340,6803,917,2,-1
9026,3059,2152,2,11013
8601,10073,588,2,112
8315,4350,691,2,11391
8908,11939,1210,2,-1
8350,5631,1945,2,-1
9123,8333,2168,3,895
8548,5523,1630,1,2908
8998,9862,1897,2,-1
8136,4829,2210,3,-1
8736,7093,1475,1,-1
9017,6386,991,1,3836
9312,8923,255,1,991
9450,1749,1650,2,10473
8721,7774,89,3,5017
8354,8854,2278,3,6449
8219,1018,1946,1,-1
8495,5693,962,2,-1
9442,5833,1770,2,-1
9096,7298,2487,2,10874
8763,3784,1289,1,879
8188,8178,690,1,1554
8508,1038,519,2,1395
8442,7102,1563,2,9521
8622,3765,2273,2,8174
9188,828,1972,2,8500
9448,11139,1295,2,-1
9009,4648,1939,1,-1
8689,4568,2370,3,4801
8330,6059,2391,1,-1
8041,9036,986,2,-1
8963,4227,975,3,-1
8351,8779,973,1,2638
9280,9324,1365,3,6239
8686,5680,1441,2,7472
9158,5158,447,3,5584
9071,4585,116,2,2138
9381,7671,1639,1,-1
8571,11610,1148,1,-1
8432,2105,2497,2,5065
8143,9848,1350,3,-1
9073,728,1214,1,7697
8565,10144,9,2,10613
9312,8005,1095,1,-1
8898,2467,2113,1,5818
9099,5302,1212,2,10367
8276,9463,144,1,-1
8395,7914,1106,3,10257
8773,9656,812,3,1014
8534,10680,2279,3,2096
9310,2441,575,3,-1
8441,7153,222,1,7562
9489,2850,887,1,9518
8562,758,2355,2,-1
